1,AFRICAN,Esan in Nigera,HG02922
2,AFRICAN,Esan in Nigera,HG02923
3,AFRICAN,Esan in Nigera,HG02938
4,AFRICAN,Esan in Nigera,HG02941
5,AFRICAN,Esan in Nigera,HG02943
6,AFRICAN,Esan in Nigera,HG02944
7,AFRICAN,Esan in Nigera,HG02946
8,AFRICAN,Esan in Nigera,HG02947
9,AFRICAN,Esan in Nigera,HG02952
10,AFRICAN,Esan in Nigera,HG02953
11,AFRICAN,Esan in Nigera,HG02968
12,AFRICAN,Esan in Nigera,HG02970
13,AFRICAN,Esan in Nigera,HG02971
14,AFRICAN,Esan in Nigera,HG02973
15,AFRICAN,Esan in Nigera,HG02974
16,AFRICAN,Esan in Nigera,HG02976
17,AFRICAN,Esan in Nigera,HG02977
18,AFRICAN,Esan in Nigera,HG02979
19,AFRICAN,Esan in Nigera,HG02981
20,AFRICAN,Esan in Nigera,HG03099
21,AFRICAN,Esan in Nigera,HG03100
22,AFRICAN,Esan in Nigera,HG03103
23,AFRICAN,Esan in Nigera,HG03105
24,AFRICAN,Esan in Nigera,HG03108
25,AFRICAN,Esan in Nigera,HG03109
26,AFRICAN,Esan in Nigera,HG03111
27,AFRICAN,Esan in Nigera,HG03112
28,AFRICAN,Esan in Nigera,HG03114
29,AFRICAN,Esan in Nigera,HG03115
30,AFRICAN,Esan in Nigera,HG03117
31,AFRICAN,Esan in Nigera,HG03118
32,AFRICAN,Esan in Nigera,HG03120
33,AFRICAN,Esan in Nigera,HG03121
34,AFRICAN,Esan in Nigera,HG03123
35,AFRICAN,Esan in Nigera,HG03124
36,AFRICAN,Esan in Nigera,HG03126
37,AFRICAN,Esan in Nigera,HG03127
38,AFRICAN,Esan in Nigera,HG03129
39,AFRICAN,Esan in Nigera,HG03130
40,AFRICAN,Esan in Nigera,HG03132
41,AFRICAN,Esan in Nigera,HG03133
42,AFRICAN,Esan in Nigera,HG03135
43,AFRICAN,Esan in Nigera,HG03136
44,AFRICAN,Esan in Nigera,HG03139
45,AFRICAN,Esan in Nigera,HG03157
46,AFRICAN,Esan in Nigera,HG03159
47,AFRICAN,Esan in Nigera,HG03160
48,AFRICAN,Esan in Nigera,HG03162
49,AFRICAN,Esan in Nigera,HG03163
50,AFRICAN,Esan in Nigera,HG03166
51,AFRICAN,Esan in Nigera,HG03168
52,AFRICAN,Esan in Nigera,HG03169
53,AFRICAN,Esan in Nigera,HG03172
54,AFRICAN,Esan in Nigera,HG03175
55,AFRICAN,Esan in Nigera,HG03189
56,AFRICAN,Esan in Nigera,HG03190
57,AFRICAN,Esan in Nigera,HG03193
58,AFRICAN,Esan in Nigera,HG03195
59,AFRICAN,Esan in Nigera,HG03196
60,AFRICAN,Esan in Nigera,HG03198
61,AFRICAN,Esan in Nigera,HG03199
62,AFRICAN,Esan in Nigera,HG03202
63,AFRICAN,Esan in Nigera,HG03265
64,AFRICAN,Esan in Nigera,HG03267
